@relation lucene-question-results

@attribute lucenerank numeric
@attribute lucenescore numeric
@attribute correct {yes,no}

@data
8,0.4035046995,no
9,0.3888396025,no
10,0.3781425357,no
11,0.3701651394,no
12,0.3694696724,no
13,0.3685739934,no
14,0.3654210865,no
15,0.3609516323,no
16,0.3608834743,no
17,0.3591575027,no
18,0.3588680029,no
19,0.3570418954,no
20,0.3565798104,no
1,0.4582888782,no
2,0.4473719597,no
3,0.4450450838,no
4,0.4258928001,no
5,0.4140467346,no
6,0.3998979032,yes
7,0.3984403312,no
8,0.3863290846,no
9,0.3710233271,no
10,0.3388585746,yes
11,0.31834203,no
12,0.3125728965,no
13,0.3092835844,no
14,0.2945138216,no
15,0.2806539237,no
16,0.2783234119,no
17,0.2755098641,no
18,0.2727150917,no
19,0.2698498964,no
20,0.2641925216,no
1,0.888702333,no
2,0.8210049868,no
3,0.8199024796,no
4,0.6822144985,no
5,0.6487327218,yes
6,0.6264754534,no
7,0.6122140288,no
8,0.5696965456,no
9,0.5641388297,no
10,0.5626865625,no
11,0.530397296,no
12,0.5281027555,no
13,0.5174760222,no
14,0.5104404092,no
15,0.5016727448,no
16,0.5011028051,no
17,0.4826782942,no
18,0.4809618592,no
19,0.4765179455,no
20,0.4753228724,no
1,0.8096327186,no
2,0.6081148982,no
3,0.5704711676,no
4,0.5178766251,no
5,0.5015415549,no
6,0.4973341823,no
7,0.4831916094,no
8,0.4831093252,no
9,0.48144871,no
10,0.4781754911,no
11,0.472658962,yes
12,0.4649942815,no
13,0.4589871466,no
14,0.4568642378,no
15,0.4500954151,no
16,0.4473822415,no
17,0.4462334812,no
18,0.443844378,no
19,0.4400832057,no
20,0.433783114,no
1,0.5536850691,no
2,0.4930364788,no
3,0.4615581036,no
4,0.4612929523,no
5,0.4492565691,no
6,0.428935647,no
7,0.4274292886,yes
8,0.4269003272,no
9,0.4215332866,no
10,0.4149727821,no
11,0.3901220262,no
12,0.3844901621,no
13,0.3831874728,no
14,0.3815241158,no
15,0.36925897,no
16,0.3586665392,no
17,0.3579484522,yes
18,0.3576445282,yes
19,0.3451378644,no
20,0.3418296278,no
1,0.8531721234,no
2,0.6145557165,no
3,0.563608706,no
4,0.5437547565,no
5,0.5436847806,no
6,0.5426731706,no
7,0.5405064225,no
8,0.5381083488,no
9,0.5182403922,no
10,0.5137338042,no
11,0.512766242,no
12,0.5093194842,no
13,0.5033499599,no
14,0.4940169454,no
15,0.4784274399,no
16,0.4741431475,no
17,0.4697731733,no
18,0.4660155177,no
19,0.4497741163,no
20,0.4440946579,yes
1,1.4439189434,no
2,0.7285205126,no
3,0.7195860744,no
4,0.6667386889,no
5,0.655918777,no
6,0.655918777,no
7,0.5783981085,no
8,0.5312443376,no
9,0.5149677992,yes
10,0.4915118814,no
11,0.4454297721,no
12,0.422180146,no
13,0.4099492431,no
14,0.4099492431,no
15,0.4026411176,no
16,0.3913394511,no
17,0.3910336196,no
18,0.3813979626,no
19,0.3795672655,no
20,0.3596254289,no
1,0.6263566017,no
2,0.4640533328,no
3,0.4408608377,no
4,0.4188140631,no
5,0.4028145075,no
6,0.3904148936,no
7,0.3856568336,no
8,0.3808807135,no
9,0.3778488636,no
10,0.3730403781,no
11,0.372235328,no
12,0.3717101216,no
13,0.3643603325,no
14,0.3615328372,no
15,0.3600071967,yes
16,0.3583202064,no
17,0.3573203087,no
18,0.357214123,no
19,0.3490649462,no
20,0.3445203304,no
1,0.9553354383,no
2,0.6929827332,no
3,0.6244153976,no
4,0.5648626089,no
5,0.5558815598,no
6,0.5450838804,no
7,0.5324350595,no
8,0.5216731429,no
9,0.5136160851,no
10,0.5021631122,no
11,0.4898135364,no
12,0.4820404649,no
13,0.4732686579,no
14,0.4728537202,yes
15,0.4722276032,no
16,0.4684214592,no
17,0.4666231275,no
18,0.4662278295,no
19,0.4632263184,no
20,0.4592040777,no
1,0.4916492403,yes
2,0.4033072591,no
3,0.3934724033,no
4,0.3732338548,no
5,0.346314162,no
6,0.3351750374,no
7,0.3173935115,no
8,0.2938527763,no
9,0.2818710208,no
10,0.2713258266,no
11,0.2707067728,no
12,0.2698395252,no
13,0.2685587108,no
14,0.2620529532,no
15,0.253162384,no
16,0.249071002,yes
17,0.2461720705,no
18,0.2432907671,no
19,0.2414491475,no
20,0.2391634285,no
1,0.888812542,no
2,0.692102015,no
3,0.6684324145,no
4,0.6656604409,no
5,0.6579152942,no
6,0.644040823,no
7,0.6192641854,no
8,0.615481317,no
9,0.6145492792,no
10,0.6113623977,no
11,0.6058366299,no
12,0.5991688371,no
13,0.5974141955,no
14,0.5786466599,yes
15,0.5634457469,no
16,0.5623036027,no
17,0.5515312552,no
18,0.5472588539,no
19,0.5444276333,no
20,0.5323061347,no
1,1.1604845524,no
2,1.0992025137,no
3,0.7861898541,no
4,0.7626427412,no
5,0.7273557782,no
6,0.7218379378,no
7,0.6615368724,no
8,0.6606147289,no
9,0.6212459207,no
10,0.6212066412,no
11,0.6032956243,no
12,0.5707046986,no
13,0.5665553808,no
14,0.5659689307,no
15,0.5644202232,no
16,0.5406566858,no
17,0.5398010612,no
18,0.5349110365,yes
19,0.5347729325,no
20,0.5306812525,no
1,1.0134891272,no
2,0.8727345467,no
3,0.7520902157,yes
4,0.7156040072,no
5,0.7140835524,no
6,0.7081124783,no
7,0.6740486026,no
8,0.6672791839,no
9,0.6553300023,no
10,0.6374717951,no
11,0.6253840923,no
12,0.6226573586,no
13,0.6207692623,no
14,0.6156487465,no
15,0.6140258312,no
16,0.6136472821,no
17,0.6026256084,no
18,0.5986694694,no
19,0.5942081809,no
20,0.5873740315,no
1,1.1397389174,no
2,1.07528162,yes
3,1.0104632378,no
4,0.9885156751,no
5,0.8776752949,no
6,0.7887512445,no
7,0.7248485684,no
8,0.714505434,no
9,0.714505434,no
10,0.714505434,no
11,0.7050101757,no
12,0.6952851415,no
13,0.6885940433,no
14,0.6524572968,no
15,0.6421853304,no
16,0.6298584938,no
17,0.625192225,no
18,0.5771592855,no
19,0.5707820654,no
20,0.5702853203,no
1,0.9796225429,no
2,0.6158747077,yes
3,0.6127080917,no
4,0.5491239429,no
5,0.5437796712,no
6,0.497811079,no
7,0.4907477796,no
8,0.4735587835,no
9,0.4731186628,no
10,0.470246464,no
11,0.4614506662,no
12,0.4602942765,no
13,0.458958894,no
14,0.4426805079,no
15,0.4372234344,no
16,0.4288940728,no
17,0.4053221941,no
18,0.4021573365,no
19,0.3991123438,no
20,0.3955114186,no
1,0.6684769392,no
2,0.6267152429,no
3,0.6208399534,no
4,0.5614426136,no
5,0.5443456173,no
6,0.4289970696,yes
7,0.4246453047,no
8,0.3853928447,no
9,0.373400867,no
10,0.3716383576,no
11,0.3647837639,no
12,0.3561112881,no
13,0.349881351,no
14,0.3407563567,no
15,0.3358915746,no
16,0.3352059126,yes
17,0.3144338429,no
18,0.3132339716,yes
19,0.3084636629,no
20,0.3040048778,no
1,0.4396011829,no
2,0.4068880081,no
3,0.3849726617,no
4,0.3563129306,yes
5,0.3464074731,no
6,0.3408750892,no
7,0.3405041099,no
8,0.3342962861,no
9,0.3292490244,no
10,0.3151404262,no
11,0.309583962,no
12,0.3071255088,no
13,0.3030552566,no
14,0.2940158546,no
15,0.2896790802,no
16,0.2887611091,no
17,0.2829265296,no
18,0.2763154209,no
19,0.2724655271,no
20,0.2717353404,no
1,1.2259832621,no
2,1.1065078974,no
3,1.0527456999,no
4,0.9839490056,yes
5,0.9719376564,no
6,0.7998740673,no
7,0.7979665399,no
8,0.7756542563,no
9,0.7556791306,no
10,0.697010994,no
11,0.6854125857,no
12,0.6737281084,no
13,0.6478751302,no
14,0.6379816532,no
15,0.625059545,no
16,0.6068121791,no
17,0.6057265401,no
18,0.5860596299,no
19,0.5820611119,yes
20,0.5731839538,no
1,1.1837644577,no
2,0.9280558825,no
3,0.6552305222,no
4,0.6386711597,no
5,0.5655770898,no
6,0.4925392568,no
7,0.4663901925,no
8,0.4418295622,yes
9,0.4115771353,no
10,0.407998234,no
11,0.4077569246,yes
12,0.4049883485,no
13,0.4048713744,no
14,0.4041832983,no
15,0.4022907317,no
16,0.4007332325,no
17,0.3981280029,no
18,0.3919264674,no
19,0.3918969631,no
20,0.380444169,no
1,0.9758319259,no
2,0.8188329339,no
3,0.801987052,no
4,0.795067668,no
5,0.7706134915,yes
6,0.7224615812,no
7,0.6911448836,no
8,0.6881266832,no
9,0.6750556827,no
10,0.6741782427,no
11,0.6658911705,no
12,0.6614224911,no
13,0.6440382004,no
14,0.6426818967,no
15,0.6295357943,no
16,0.6168376803,no
17,0.6125516891,yes
18,0.6067020893,no
19,0.5937021971,no
20,0.5910211205,no
1,0.9388514757,yes
2,0.7698820233,no
3,0.668587625,no
4,0.5874806046,no
5,0.5424286127,no
6,0.4962610602,no
7,0.4827667773,no
8,0.4500959516,no
9,0.422209084,no
10,0.4174729884,no
11,0.4096036851,no
12,0.4086479843,no
13,0.4081033766,no
14,0.4062646627,no
15,0.4009539187,no
16,0.398019582,no
17,0.3977820873,no
18,0.3965536356,no
19,0.395467937,no
20,0.3942711055,no
1,0.4453617334,no
2,0.3579123616,no
3,0.3507087231,no
4,0.3439828753,no
5,0.3439828753,no
6,0.3422473371,no
7,0.3341044188,no
8,0.3313722312,no
9,0.3234573603,no
10,0.3209989071,no
11,0.3200648427,no
12,0.317628175,no
13,0.3114216924,yes
14,0.3069241643,no
15,0.306782037,no
16,0.3035100996,no
17,0.3027120233,no
18,0.2988195121,no
19,0.2988195121,no
20,0.2988195121,no
1,0.7061685324,yes
2,0.6672989726,no
3,0.5401338935,no
4,0.5122857094,no
5,0.5052977204,no
6,0.4837932587,no
7,0.4544974864,no
8,0.4342610538,no
9,0.4276062548,no
