@relation allengines-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute lucenerank numeric
@attribute lucenescore numeric
@attribute googlerank numeric
@attribute correct {yes,no}

@data
1,-6.6490814906,1,1.1090078354,2,no
1,-6.6490814906,1,1.1090078354,4,no
1,-6.6490814906,1,1.1090078354,6,no
1,-6.6490814906,1,1.1090078354,9,no
2,-6.7920136128,5,0.8250699639,2,no
2,-6.7920136128,5,0.8250699639,5,no
2,-6.7920136128,5,0.8250699639,10,no
3,-6.8273512368,1,1.2492456436,1,no
3,-6.8273512368,1,1.2492456436,4,no
3,-6.8273512368,1,1.2492456436,6,no
3,-6.8273512368,1,1.2492456436,8,no
8,-7.3356894797,14,0.5536680818,2,no
8,-7.3356894797,14,0.5536680818,5,no
8,-7.3356894797,14,0.5536680818,10,no
1,-8.7816670296,2,0.3742341995,9,no
2,-8.8276153904,4,0.3144654632,6,no
2,-8.8276153904,4,0.3144654632,10,no
1,-8.1330232329,10,0.4539119601,1,no
1,-8.1330232329,10,0.4539119601,2,no
1,-8.1330232329,10,0.4539119601,6,no
1,-8.1330232329,10,0.4539119601,9,no
8,-8.0328267416,2,0.5923336744,1,yes
8,-8.0328267416,2,0.5923336744,8,no
